
 Se creó un producto al ingresar en /products
 Se creó un producto al ingresar en /productsa las Tue Aug 15 2023 11:08:05 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Wed Aug 16 2023 23:42:56 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Thu Aug 17 2023 00:14:37 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Thu Aug 17 2023 00:14:58 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Thu Aug 17 2023 00:16:09 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Thu Aug 17 2023 00:20:30 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Thu Aug 17 2023 00:22:47 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Thu Aug 17 2023 00:23:14 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Thu Aug 17 2023 00:23:44 GMT-0300 (hora estándar de Argentina)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 13:06:09 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 13:11:51 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 13:12:00 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 13:15:33 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 17:02:44 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 17:03:07 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 17:59:30 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 18:02:05 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 18:07:01 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 18:08:09 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 18:12:32 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 18:14:17 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 18:18:53 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 18:19:02 GMT-0400 (hora estándar de Chile)
 Se creó un producto al ingresar en /products a las Fri Aug 25 2023 20:31:45 GMT-0400 (hora estándar de Chile)
